Business Name,Description,Category,Address,Phone,Email,Website
CASCADE MRA PROPERTIES ELKFORD CORP,Property Management,,P.O. Box 2259 Rossland B.C. V0G 1Y0,,,
CHAMCO INDUSTRIES LTD,Pump & Compressor Service,,"Bay 110, 553 Kingsview Way SE Airdrie, AB T4A 0C9",(403) 945-8134 Fax (403) 777-1207,adraccounting@chamco.com,
CHAUNCY RIDGE FOOD MART,Convenience Store,,"1 - 2200 Balmer Drive Elkford, B.C. V0B 1H0",(778) 536-5775 or (250) 304-4740,ssrandhawa5775@gmail.com,
CHRISTAL KLASSEN,Bookkeeper's Office,,"1161 Nashton Cres. P.O. Box 186 Elkford, B.C. V0B 1H0",(250) 865-7794,crklass@telus.net,
CLARKSON CONTRACTING LTD.,Specialty Trade Contracting,,"418 B Boivin Road P.O. Box 1049 Elkford, B.C. V0B 1h0",(250) 865-4500 Fax (250) 865-7600,info@clarksoncontracting.com,
CLEAR DIRECTIONS VIRTUAL SOLUTIONS,Virtual Business Support,,"651 Natal Road P.O. Box 198 Elkford, B.C. V0B 1H0",(403) 892-6241,alyssa@alyssaburgoyne.com,
COAL TOWN FURNACE & AC,HVAC Installation (Service Business),,"P.O. Box 820 Coleman, AB T0K 0M0",(403) 795-4398 or (403) 563-9481,coaltownfurnace@gmail.com,
COMBINED INSURANCE COMPANY OF AMERICA,Insurance,,"Suite 70 150 Commerce Valley Drive W. Markham, ON L3T 7Z3",(403) 569-7981 or (403) 619-9738 or Fax (403) 207-1544,giancarlo.valente@ca.combined.com,
COUNTRY ENCOUNTERS,Catering,,"7701 - 17 Ave. P.O. Box 655 Coleman, AB T0K 0M0",,,
CRANEMAX HOISTING INC,Mobile Crane Services,,"6238 HWY 43 P.O. Box 1193 Elkford, B.C. V0B 1H0",,,
CREATIVE REHABILITATION SERVICES LTD DBA CREATIVE THERAPY CONSULTANTS,Occupational Therapy and Kinesiology Services,,"102 - 208 Ellis Street Penticton, B.C. V2A 4L6",(236) 422-4778 Fax (236) 422-4783,info@creativetherapyconsultatants.ca,
CURTIS & PAULA NYULI,Bed & Breakfast / Air BnB,,"3000 Balmer Drive P.O. Box 825 Elkford, B.C. V0B 1H0",(250) 865-2724 or (250) 826-7606,paulanyuli@gmail.com,
CUTLINE BARBERSHOP - 2437841 Alberta Inc,Barbershop,,"7 Bear Paw Cres. Elkford, B.C. V0B 1H0",(403) 369-0744,lisa.megly@gmail.com,
D3K CONSTRUCTION LTD.,Specialty Trade Contracting,,"1581 Newgate Crescent P.O. Box 292 Elkford, B.C. V0B 1H0",(250) 603-9934 or (250) 603-9935,d3kconstruction@gmail.com,
DECORATE WITH BALLOONS,Balloons and Water Beads,,"2 Dorita Elkford, B.C. V0B 1H0",(250) 865-4690 or (250) 425-3863,sdennuse@hotmail.com,
DOLLY'S DINER,Food and Beverage Service,,815 Elk Valley Highway 43,(250) 433-7722 or (250) 202-2220,jolenewarner2222@gmail.com,
DUKA ENVIRONMENTAL SERVICES,Environmental Services,,"13878 - 100 Ave. Surrey, B.C. V3T 5X7",(604) 881-4565 or (604) 240-5025 Fax (866) 759-5902,duka@telus.net,
EAST KOOTENAY REALTY LTD.,Real Estate and Property Management,,"25 - 10the Ave South Cranbrook, AB V1C 2M2",,,
EAST KOOTENAY REALTY LTD.,Real Estate and Property Management,,"25 - 10th Ave South Cranbrook, B.C. V1C 2M2",,,
ELK RIVER CROSSING CARWASH,Car Wash,,"6 Front Street P.O. Box 332 Elkford, B.C. V0B 1H0",(778) 521-5112 or (403) 330-7414,elkrivercrossing@outlook.com,
ELK VALLEY BARNBOARD DESIGNS,Miscellaneous Manufacturing,,"21 Casino Crescent P.O. Box 1236 Elkford, B.C. V0B 1H0",(250) 865-2433 or (250) 425-4023,,
ELK VALLEY LODGE,,,"11 Bear Paw Crescent  P.O. Box 10 Elkford, B.C. V0B 1H0",(236) 524-2051,,
ELK VALLEY RESOURCES - FORDING RIVER OPERATION,Elk Valley Resources - Fording River Mine Site,,"Bag 2000 Fording River Operations Sparwood, B.C. VOB 2G0",(250) 865-2271,,
ELK VALLEY RESOURCES - FORDING RIVER OPERATION,Mining,,"Bag 2000 Fording River Operations Sparwood, B.C. VOB 2G0",(250) 865-2271,,
ELK VALLEY RESOURCES - GREENHILLS OPERATIONS,Elk Valley Resources - Greenhills Operations,,"Bag 2000 Greenhills Operations Sparwood, B.C. V0B 2G0",(250) 865-3097,,
ELKFORD CHAMBER OF COMMERCE,Admin of General Economic Programs,,"P.O. Box 220 Elkford, B.C. V0B 1H0",(250) 425-5725,info@tourismelkford.ca,
ELKFORD DENTAL CORPORATION (ELKFORD DENTAL CLINIC),Dental Services,,"814 Michel Road  P.O. Box 940 Elkford, B.C. V0B 1H0",(250) 865-4344,,
ELKFORD HOLDINGS,Air BNB Rental,,"3A Douglas Crescent Box 1093 Elkford, B.C. V0B 1H0",(250) 910-2222 or (250) 910-9100,elkfordholdings@gmail.com,
ELKFORD MINI MART,Convenience Store and Gas Station,,"60 Alpine Way P.O. Box 1299 Elkford, B.C. V0B 1H0",(250) 865-2415,,
ELKFORD MINI STORAGE,Warehousing & Storage,,"#3 Front Street P.O. Box 925 Elkford, B.C. V0B 1H0",(250) 865-2465 or (250) 425-4081,,
ELKFORD MOTOR INN,,,"812 MICHEL RD, ELKFORD, BC, V0B 1H0",(250) 865-2231,elkfordhotel@gmail.com,https://elkfordmotorinn.com
ELKFORD MOTOR INN SNEAKY'S PUB,,,"808 MICHEL RD, ELKFORD, BC, V0B 1H0",(250) 865-2211,elkfordhotel@gmail.com,https://elkfordmotorinn.com
ELKFORD PHYSIOTHERAPY,Physiotherapy,,"216 Alpine Way Elkford, B.C. V0B 1H0",(250) 423-3423 or (250) 531-0341 Fax (250) 423-3443,ferniephysio@shawcable.com,
ESCUADRA CUSTOM HOMES,Residential Builder,,"8849 Dunn Street Canal Flats, B.C. V0B 1B0",(250) 421-7424,admin@excuadra.ca,
F & A CONTRACTING,"Pilot Car, Transport, Traffic Control",,"P.O. Box 205 Elkford, B.C. V0B 1H0",(250) 433-1520 or (778) 521-1192,,
FERNIE FORD SALES LTD. - LEGACY FORD,Service Repair Shop,,"6165  Brenhers Road Fernie, B.C. V0B 1M0",(250) 423-9211,reception@legacyfordfernie.ca,
FINNING CANADA - ELKFORD,Repair and Maintenance,,"2 Bear Paw Crescent P.O. Box 1300 Elkford, B.C. V0B 1H0",(250) 425-6282 or (250) 425-5170 FAX (250) 425-0444,msmith@finning.com,
FRONT TO BACK YARD MAINTENANCE,Landscaping Services,,"1356 Needles Cres. Elkford, B.C. V0B 1H0",(250) 231-3687 or (250) 910-9625,snowcatrob@hotmail.com,
GRANITE ENTERPRISES DBA - STONE PRINTS,Commercial Printing,,"1368 Needles Crescent P.O. Box 97 Elkford, B.C. V0B 1H0",(250) 865-7735,,
GROUND UP PROPERTY MAINTENANCE,Property Maintenance,,"2212 Almond Street P.O. Box 606 Elkford, B.C. V0B 1H0",(250) 865-2630,,
GUARDIAN FIRST AID SERVICE,Ambulatory Health Services,,"10 Iskut Road P.O. Box 648 Elkford, B.C. V0B 1H0",(250) 865-2650,,
HAIR ELOQUENCE,,,"1362 NEEDLES CRES, ELKFORD, BC, V0B 1H0",(250) 865-7119,,https://www.facebook.com/pages/category/Beauty-Salon/Hair-Eloquence-1082058531815926
HI ROCK INN (1261789 BC LTD),Motel,,"2 Chauncey Street P.O. Box 1360 Elkford, B.C. V0B 1H0",(250) 865-2226 or (158) 743-8425 Fax (250) 865-2062,hirockmotel@gmail.com,
HIGH STANDARD CONTRACTING INC.,Repair and Maintenance,,"351 Alpine Way P.O. Box 338 Elkford, B.C. V0B 1H0",(250) 865-7333 or (250) 425-5825 Fax (250) 865-4444,hselkford@gmail.com,
INSIDE OUT PAINTING,Construction Painting,,"770B Balmer Crescent Elkford, B.C. V0B 1H0",(250) 515-2055 or (250) 865-7435,lindsay.a.thiel@gmail.com,
IRWIN'S SAFETY AND INDUSRIAL LABOUR,,,"3 Bearpaw Cres. Elkford, B.C.   V0B 1H0",(778) 753-6540,info@irwinsafety.com,
J & R SERVICES,Snow Removal/Landscaping,,"20 Cassiar Drive P.O. Box 346 Elkford, B.C. V0B 1H0",(250) 946-7022 OR (250) 425-5206,jorobtu@yahoo.ca,
JUSTIN HUGHSON REALTOR,Realtor,,"5 Dallas Place P.O. Box 309 Elkford, B.C. V0B 1H0",(403) 315-0840,hughsonjustin@gmail.com,
KAPP'S PIZZA PLACE,Family Restaurant,,"418 Boivin P.O. Box 598 Elkford, B.C. V0B 1H0",(250) 865-2999 or (250) 304-7964,gurdeepmann1100@gmail.com,
KAREN'S PET INN,Kennels and Pet Boarding,,"#4090 Highway 43 P.O. Box 1048 Elkford, B.C. V0B 1H0",(250) 865-7673 or (250) 910-0724,kjsmithies@elkvalley.net,
KATHERINE RUSSELL ART,Glass Art,,"118 Cariboo Drive P.O. Box 13 Elkford, B.C. V0B 1H0",(250) 665-8005,k.russell.glass@outlook.com,
KATHRYN'S HOUSECLEANING,Janitorial Service,,"1563 Newgate Cres. P.O. Box 817 Elkford, B.C. V0B 1H0",(250) 433-7154,,
KETTLE BLACK BARTENDING,Event Bartender,,"1000 12th St. S Cranbrook, B.C. V1C 1W8",(250) 919-8052,kettleblackbartending@gmail.com,
KETTLE RIVER CONTRACTING LIMITED PARTNERSHIP,Civil Construction,,"2 & 4 Iskut Elkford, B.C. V0B 1H0  201 - 127 Commercial Drive Calgary, AB T3Z 2A7",(403) 818-3970,admin@kettlerivercontracting.com,
KOOTENAY MARKET #1671,Supermarket,,"814 Michel Road Elkford, B.C. V0B 1H0",(250) 865-7514,,
KROMDRAAI DELI & STORE,South African Store,,"Box 258 Stirling, AB T0K 2E0",(403) 849-0677,kromdraaideli@gmail.com,
KS JANITORIAL SERVICES,Janitorial Services,,"104 Cariboo Dr. P.O. Box 1141 Elkford, B.C. V0B 1H0",(250) 910-0259,kristen.ann1@hotmail.com,
LAMPLIGHTER PUB & GRILL BAYSWATER ENTERPRISES,Pub & Grill,,"2200 Balmer Drive P.O. Box 39 Elkford, B.C. V0B 1H0",(250) 865-4320 or (250) 425-5611 FAX (250) 865-7654,,
LAVENDER HAZE NAILS,Nail Technician,,"827 Michel Road P.O. Box 495 Elkford, B.C. V0B 1H0",(250) 910-7021,katrinamarie321@hotmail.com,
LAZY DAISY DOG,Pottery/Knitting/Crafts,,"827 Michel Road P.O. Box 495 Elkford, B.C. V0B 1H0",(250) 425-9181,stacievandergrift@hotmail.com,
LINK BUILDERS,Construction Services,,"P.O. Box 2650 Pincher Creek, AB T0K 1W0",(403) 627-5504,admin@linkbuilders.ca,
LUNDRIGAN'S LOCK AND KEY,Locksmith,,"55 Deerborne Drive P.O. Box 794 Elkford, B.C. V0B 1H0",(250) 425-5361,,
MA CATERING COMPANY LTD.,Catering Company,,"P.O. Box 1684 Fort MacLeod, AB T0L 0Z0",(403) 715-6079,macateringco@gmail.com,
MAITREYA MASSAGE THERAPY & HOLISTIC HEALING,Registered Massage Therapy,,"960 Galbraith Drive P.O. Box 1294 Elkford, B.C. V0B 1H0",(250) 865-2484 or (250) 540-5710,ea.drijber@gmail.com,
MARGOT KATRINA BC RMT,Registered Massage Therapist,,"816 Michel Road P.O. Box 1276 Elkford, B.C. V0B 1H0",(250) 342-5803,margot.penner.rmt@gmail.com,
MATERA TILE AND STONE,Tile and Stone Installation,,"2628 Alpine Drive P.O. Box 894 Elkford, B.C.  V0B 1H0",(250) 423-1629,materatileandstone@gmail.com,
MAXAM EXPLOSIVES INC.,Explosive Manufacturing,,"P.O. Box 1240 Sparwood, B.C. V0B 2G0",(250) 410-1088 or (250) 423-1845 Fax (250) 425-2099,syrckman@maxam.net,
MCNAIR CONTRACING LTD.,Mobile Services for Transportation,,"2 Darby Crescent P.O. Box 231 Elkford, B.C. V0B 1H0",(250) 464-5063 or (250) 425-5755,mcnaircontracting5755@gmail.com,
MCRAE'S AUTO ELECTRIC LTD.,Electric Services,,"5 Intata Road P.O. Box 68 Elkford, B.C. V0B 1H0",(250) 865-4395,accounts@mcraesautoelectric.com,
MICHELLE KRENBRINK ART,Custom Paintings & Pottery,,"6 Citadel Place P.O. Box 1416 Elkford, B.C. V0B 1H0",(250) 603-9347,michelle.krenbrink@gmail.com,
MOUNTAIN ECHOES DOULA,Doula Services,,"1173 Nashton Crescent P.O. Box 126 Elkford, B.C. V0B 1H0",(587) 433-1954,mountainechoes.doula@gmail.com,
MOUNTAIN ELECTRIC LTD.,Electrical Contractor,,"1117 Ash Crescent P.O. Box 1278 Elkford, B.C. V0B 1H0",(250) 433-1707,jason.mountainelectric@yahoo.ca,
MOUNTAIN MECHANICAL SALES & SERVICES,Mountain Mechanical Sales & Services,,"1 Front Street P.O. Box 168 Elkford, B.C. V0B 1H0",(250) 425-6535 or (250) 425-5381,accounting@mountainmechanical.com,
MOUNTAIN TOP BEAUTY,Nail & Lash Salon,,"609 Bigston Crescent P.O. Box 193 Elkford, B.C. V0B 1H0",(250) 433-1812,ssherdahl@gmail.com,
MR. NICE GUY CONTRACTING,Renovations & Repairs,,"P.O. Box 665 Elkford, B.C. V0B 1H0",(306) 307-0669 or (306) 307-4424,mrniceguycontracting@gmail.com,
NELIE'S SALON,Hair Salon,,"55 Deerborne Drive P.O. Box 234 Elkford, B.C. V0B 1H0",(250) 688-0235,,
NICOLE VENYIGE THERAPY,Mental Health Counselling,,"3-816 Michel Road P.O. Box 652 Elkford, B.C. V0B 1H0",(306) 580-1250,nicolevenyigetherapy@gmail.com,
NIGHTCRAWLER 4X4 INC.,Automotive/Industrial Repairs,,"#6 Iskut Road P.O. Box 1150 Elkford, B.C. V0B 1H0",(250) 865-4446,,
NOTEWORTHY COFFEE,Mobile Coffee/Tea Truck,,"P.O. Box 1017 Elkford, B.C. V0B 1H0",(780) 221-4566,alison.noteworthycoffee@gmail.com,
NWP COAL CANADA LIMITED,Coal Mining,,"8 Douglas Cres. P.O. Box 399 Elkford, B.C. V0B 1H0",(855) 922-3851,info@nwpcoal.com,
NXTLVL CONSULTING & EXCAVATION LTD,Civil Construction and Repairs,,"807 309th Street Kimberly, B.C. V1A 3J5",(250) 427-5840,office.nxtlvl@gmail.com,
PACIFIC PUPS DOG WALKING,Dog Walking/Pet Care,,"5 Clearwater Place P.O. Box 512 Elkford, B.C. V0B 1H0",(778) 919-9255 or (604) 902-1796,pacificpupsdogwalking@gmail.com,
PARTNERS IN BRINE SEAFOOD INC.,Fish & Seafood Merchant,,"60 Alpine Way 3600 Almond Gardens RD WE Grand Forks, B.C. V0H 1H4",(250) 442-5280 or (250) 442-9679,tritonsage@yahoo.com,
PINECREST POWER LTD.,Electrical Contractor,,"2004 Alder Street Elkford, B.C. V0B 1H0",(403) 969-9715,pinecrestpower@outlook.com,
PK CONSTRUCTION,Renovations/Windows Doors,,"Box 62 Blairmore, AB T0K 0E0",(403) 634-3858,pkkingsly@gmail.com,
PRECISION ARC INDUSTRIES,"Light welding/repair, machine shop, mobile welding",,"13 Union Road P.O. Box 687 Elkford, B.C. V0B 1H0",(250) 421-0696,precision.arc.industries@gmail.com,
RAPUNZEL HAIR STUDIO,Hairdressing Salon,,"838 Minto Crescent P.O. Box 356 Elkford, B.C. V0B 1H0",(250) 865-2246 or (250) 919-2972,,
RE/MAX ELK VALLEY REALTY,Real Estate Office,,"814 Michel Road Elkford, B.C. V0B 1H0",(250) 910-9625 (Crystal) or 250-433-6151 (Stephanie),info@sparwoodrealestate.ca,
RED RAINE HAIR STUDIO,Hair Salon,,"7 Bear Paw Crescent P.O. Box 1175 Elkford, B.C. V0B 1H0",(250) 433-7068,redrainehairstudio@outlook.com,
RMR RADIATORS & BOOM TRUCK,Radiator Repair,,"13 Union Road P.O. Box 550 Elkford, B.C. V0B 11H0",(250) 865-4445 or (250) 433-7843 Fax (250) 865-4450,rmr2001@telus.net,
ROBERT PAULSON GENERAL CONTRACTOR LTD.,Specialty Trade Contractor - Fire / Flood,,"P.O. Box 871 Cranbrook, B.C. V1C 4J6",(250) 426-3283 Fax (250) 426-3280,,
ROCKHARD FAMILY FITNESS CENTRE,Fitness Center,,"216 Alpine Way P.O. Box 1463 Elkford, B.C. V0B 1H0",,,
ROCKY MOUNTAIN BUS LINES LTD.,Transportation - bussing,,"7 Water Street P.O. Box 1381 Elkford, B.C. V0B 1H0",(778) 521-5211 or (250) 433-7101 Fax (778) 521-5213,,
RYAN VENDING,Vending Machines,,"723A Vanalman Ave. Victoria, B.C. V8Z 3B6",(877) 311-7171 Fax (250) 381-1123,heather.sutherland@ryanvending.com,
SAORSA BUSINESS SERVICES,Ergonomic Consulting,,"152 Corbin Drive P.O. Box 638 Elkford, B.C. V0B 1H0",(403) 807-1770,hello@saorsabusiness.com,
SCRAPPY MOUNTAIN HANDMADE,Handmade Products,,"P.O. Box 1296 Elkford, B.C. V0B 1H0",(250) 421-3098,skibumnz@hotmail.com,
SHERRATT INDUSTRIES LTD.,General Contractors,,"325 B Industrial Road F Cranbrook, B.C. V1C 6N4",(250) 420-1592,admin@sherrattindustries.com,
SMS EQUIPMENT INC.,Industrial,,"#1 Intata Road P.O. Box 40 Elkford, B.C. V0B 1H0",(250) 865-4651 Fax (780) 545-2002,,
STARLING CLEANING SERVICES LTD.,Residential & Commercial Cleaning,,"816A Michel Road P.O. Box 7065 Fernie, B.C. V0B 1M7",(250) 430-1702 or (778) 598-1923,clientcare@starlingcleaningservices.com,
STELLARVISTA CREDIT UNION,Saving Institution,,"P.O. Box 189 Elkford, B.C. V0B 1H0",(250) 865-4661,,
STUDIO 11:11,Tattoo Studio,,"18 Dawson Cres. P.O. Box 1295 Elkford, B.C. V0B 1H0",(250) 946-6968,,
SUMMIT TRAVEL,Travel Agent,,"722 Balmer Cresc. P.O. Box 1453 Elkford, B.C. V0B 1H0",(778) 521-4765 Fax (778) 521-4762,chrissmith@tpi.ca,
TATHLINA'S POTTERY,Artist/Pottery,,"20 Cascade Cres. P.O. Box 908 Elkford, B.C. V0B 1H0",(250) 910-0161 or (250) 865-4640,tathlinaspottery@gmail.com,
TD JANITORIAL,,,"59 Deerborne Drive Elkford, B.C. V0B 1H0",(709) 944-0138,teenadavis19@gmail.com,
TEDDI'S ACORN ACADEMY EARLY LEARNING CENTRE,Childcare,,"#2 - 2200 Balmer Drive P.O. Box 355 Elkford, B.C. V0B 1H0",(402) 915-3923 or (403) 915-3921,teddi_jo.rosler@hotmail.ca,
TERRY ANONSON,Renovations,,"1353 Needles Cres. P.O. Box 634 Elkford, B.C. V0B 1H0",(250) 865-2401 or (250) 433-6876,,
TERUS CONSTRUCTION A DIVISION OF COLAS,Ready mix concrete supplier,,"P.O. Box 466 2200 Theatre Road Cranbrook, B.C. V1C 4H9",(250) 426-7206,,
THAT'S SO FETCH,Dog and Cat Grooming Services,,"7 Bear Paw Cres. P.O. Box 1483 Elkford, B.C. V0B 1H0",(250) 254-0429,thatssofetchdg@gmail.com,
THE ART OF SUMMER BREEZE,Artist - Independent,,"672 Natal Road Box 84 Elkford, B.C. V0B 1H0",(250) 430-7342,,
THE BATH SHACK,Specialty Boutique,,"65 Cariboo Drive P.O. Box 1114 Elkford, B.C. V0B 1H0",(250) 865-2456 or (250) 425-1302,,
THE BLEND BISTRO,Full Service Restaurant,,"Unit 9 814 Michel Road P.O. Box 5 Elkford, B.C. V0B 1H0",(250)421-7378 or (250) 865-2094,blendbistro@icould.com,
THE DUTCH SWEET SPOT,Food Stand,,"210 - 770A Balmer Crescent Elkford, B.C. V0B 1H0",(403) 360-5441,,
THE SOURCE DISPENSARY LTD DBA - ELK VALLEY CANNABIS,Cannabis Retail,,"814 Michel Road Elkford, B.C.  208 - 13 Street S. Lethbridge, AB T1J 2V4",(208) 755-6907,Rcswayze@gmail.com,
TINIC HOLDINGS LTD. O/A PRESTIGE CLEANERS,Dry Cleaning,,"Box 591 Blairmore, AB T0K 0E0",(403) 562-2112 Fax (403) 562-2781,,
TRACEY HALLADAY PHOTOGRAPHY,Photography,,"441 Bickford Drive P.O. Box 1195 Elkford, B.C. V0B 1H0",(250) 425-4703,traceyhalladay@gmail.com,
ULTRA LITE OVERHEAD DOORS,Specialty Trade Contractor - Garage Doors,,"7307 - 40 Street SE Calgary, AB T2C 2K4",(403) 280-2000 Fax (403) 280-1558,theresa@ultralitedoors.ca,
UP THE VALLEY CONSTRUCTION & DESIGN,Construction/Carpentry,,"13 Bear Paw Cres. P.O. Box 556 Elkford, B.C. V0B 1H0",(250) 433-7212,,
VALLEN,Industrial Supply Retail,,"2 Front Street P.O. Box 1409 Elkford, B.C. V0B 1H0",(250) 865-7555,,
VALLEY PRO MECHANICAL INC,HVAC/Gas Fitting/Plumbing,,"9 Balmer Place P.O. Box 1137 Elkford, B.C. V0B 1H0",(250) 433-6090 or (604) 369-0187,valleypromech@gmail.com,
WESTERN FINANCIAL GROUP,Insurance Carriers,,"814 Michel Road  P.O. Box 96 Elkford, B.C. V0B 1H0",(250) 865-2261 Fax (250) 865-2111,,
WESTRIDGE ROCK VENTURES LTD.,Crushing and Aggregates,,"#17 & #9 Bearpaw Cres. Elkford, B.C. 101 L&A Cross Road Vernon, B.C. V1B 3S1",(250) 546-8800 or (250) 550-7482,info@westridgerock.com,
WILD SHIELD EXTERIORS,Construction/Exteriors,,"653 Natal Road P.O. Box 1257 Elkford, B.C. V0B 1H0",(587) 220-9790 or (587) 370-1373,wildshieldext@gmail.com,
WILLOW-D ENTERPRISES LTD.,Heating & Air Conditioning,,"P.O. Box 263 Elkford, B.C. V0B 1H0",(250) 430-7361 or (250) 425-6451,willow-denterprisesltd@hotmail.com,
WONDERLAND CLINICAL ESTHETICS,Clinical Esthetics,,"713 Fording Drive P.O. Box 878 Elkford, B.C. V0B 1H0",(250) 910-0870,admin@wonderlandclinicalesthetics.ca,
